"Difficulty","players have tried","players have won","% have won","% tried of total","% won of total"
"veryeasy","45","18","40.0","1.5479876160990713","0.6191950464396285"
"easy","91","57","62.637362637362635","3.130374957000344","1.9607843137254901"
"normal","931","391","41.997851772287866","32.02614379084967","13.450292397660817"
"hard","370","127","34.32432432432432","12.727898176814586","4.368765049879602"
"veryhard","610","113","18.524590163934427","20.983832129342968","3.8871689026487783"
"epic","791","251","31.731984829329964","27.210182318541452","8.634330925352597"
"NuttyB HP Epic","48","20","41.66666666666667","1.6511867905056758","0.6879944960440316"
"NuttyB HP Epic+","585","268","45.81196581196581","20.123839009287924","9.219126246990024"
"NuttyB HP Epic++","20","0","0.0","0.6879944960440316","0.0"
"NuttyB Default Epic","162","104","64.19753086419753","5.572755417956656","3.577571379428965"
"NuttyB Default Epic+","544","268","49.26470588235294","18.71345029239766","9.219126246990024"
"NuttyB Default Epic++","25","16","64.0","0.8599931200550396","0.5503955968352253"
"NuttyB Default Epicest","13","0","0.0","0.4471964224286206","0.0"
"NuttyB Main & HP Epic","407","233","57.24815724815725","14.000687994496044","8.015135878912968"
"NuttyB Main & HP Epic+","689","261","37.88098693759071","23.70141038871689","8.978328173374612"
"NuttyB Main & HP Epic++","300","158","52.666666666666664","10.319917440660474","5.43515651874785"
"NuttyB Main & HP Epicer+","130","30","23.076923076923077","4.471964224286205","1.0319917440660475"
"NuttyB Main & HP Epicest","119","20","16.80672268907563","4.093567251461988","0.6879944960440316"
"NuttyB Main & normal","6","3","50.0","0.20639834881320948","0.10319917440660474"
"NuttyB Main & hard","10","9","90.0","0.3439972480220158","0.30959752321981426"
"NuttyB Main & veryhard","2","0","0.0","0.06879944960440317","0.0"
"NuttyB Main & epic","199","63","31.65829145728643","6.845545235638115","2.1671826625387"
