"","mean","median","min","max","std","skew","kurt","entropy"
"releasecandidates","0.5523629489603025","1.0","0.0","1.0","0.49734458704565687","-0.21072943869836572","-1.9570735047958205","0.9920740859954948"
"experimentalrebalancewreckstandarization","0.6079395085066163","1.0","0.0","1.0","0.48830237522723263","-0.4424356444861513","-1.8056165783895508","0.9661163908028882"
"experimentalextraunits","0.6109640831758034","1.0","0.0","1.0","0.48762369608316675","-0.4554661816013888","-1.7939075816325978","0.9641745726872883"
"experimentallegionfaction","0.6291115311909262","1.0","0.0","1.0","0.483133999485925","-0.5348794830042722","-1.7152014497159829","0.9513518406468133"
"commanderbuildersbuildpower","635.1984877126654","400.0","100.0","1000.0","288.340641542316","0.44440127150035513","-1.7664929451529658","0.932905884889417"
"unit_restrictions_noextractors","0.3130434782608696","0.0","0.0","1.0","0.4638195694888771","0.8067705936132381","-1.3501426833825472","0.8966554495712067"
"maxunits","4972.89224952741","2000.0","1000.0","10000.0","3754.8731007025244","0.5510112581585431","-1.640744407976285","0.8927198102151837"
"startenergy","80401.50207939508","2000.0","1000.0","100000000.0","2749158.139844689","36.34541904473026","1319.990719098597","0.8702726058601853"
"raptor_spawncountmult","1.9546313799621928","1.0","1.0","5.0","1.128062442209316","0.8105826881647624","-0.27331933873381153","0.8641940483325791"
"norushtimer","1.5580340264650283","0.0","0.0","30.0","2.6787349522449633","2.549979236014038","14.725265153056563","0.8583831072412103"
"startmetal","80337.22986767486","2000.0","1000.0","100000000.0","2749159.856886395","36.34542108353457","1319.9908178957958","0.856553128873313"
"usemapconfig","0.27334593572778826","0.0","0.0","1.0","0.4457612131834973","1.017699926720477","-0.9650171229177977","0.8462249766638431"
"scoremode_chess","0.27334593572778826","0.0","0.0","1.0","0.4457612131834973","1.017699926720477","-0.9650171229177977","0.8462249766638431"
"dominationscoretime","8.200378071833649","0.0","0.0","30.0","13.372836395504923","1.0176999267204767","-0.9650171229177982","0.8462249766638431"
"dominationscore","273.3459357277883","0.0","0.0","1000.0","445.7612131834974","1.0176999267204772","-0.9650171229177977","0.8462249766638431"
"decapspeed","0.5466918714555765","0.0","0.0","2.0","0.8915224263669946","1.017699926720477","-0.9650171229177977","0.8462249766638431"
"tugofwarmodifier","1.093383742911153","0.0","0.0","4.0","1.7830448527339893","1.017699926720477","-0.9650171229177977","0.8462249766638431"
"captureradius","27.33459357277883","0.0","0.0","100.0","44.57612131834974","1.017699926720477","-0.9650171229177986","0.8462249766638431"
"capturebonus","27.33459357277883","0.0","0.0","100.0","44.57612131834974","1.017699926720477","-0.9650171229177986","0.8462249766638431"
"capturetime","8.200378071833649","0.0","0.0","30.0","13.372836395504923","1.0176999267204767","-0.9650171229177982","0.8462249766638431"
"scoremode_chess_spawnsperphase","0.27334593572778826","0.0","0.0","1.0","0.4457612131834973","1.017699926720477","-0.9650171229177977","0.8462249766638431"
"energyperpoint","20.50094517958412","0.0","0.0","75.0","33.4320909887623","1.017699926720477","-0.9650171229177995","0.8462249766638431"
"scoremode_chess_adduptime","0.27334593572778826","0.0","0.0","1.0","0.4457612131834973","1.017699926720477","-0.9650171229177977","0.8462249766638431"
"metalperpoint","0.27334593572778826","0.0","0.0","1.0","0.4457612131834973","1.017699926720477","-0.9650171229177977","0.8462249766638431"
"limitscore","82.00378071833649","0.0","0.0","300.0","133.7283639550492","1.017699926720477","-0.9650171229177995","0.8462249766638431"
